GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 -m ../GLPK/GraphColoringGLPK.mod -d 2-FullIns_4.col.dat -o ../sol/2-FullIns_4.col.dat.sol
Reading model section from ../GLPK/GraphColoringGLPK.mod...
../GLPK/GraphColoringGLPK.mod:28: warning: unexpected end of file; missing end statement inserted
28 lines were read
Reading data section from 2-FullIns_4.col.dat...
3247 lines were read
Generating colors_count...
Generating R1...
Generating R2...
Generating R3...
Model has been successfully generated
GLPK Integer Optimizer 5.0
687728 rows, 45156 columns, 2196532 non-zeros
45156 integer variables, all of which are binary
Preprocessing...
687727 rows, 45156 columns, 2196320 non-zeros
45156 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 687727
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
687727 rows, 45156 columns, 2196320 non-zeros
      0: obj =   0.000000000e+00 inf =   6.696e+03 (3243)
Perturbing LP to avoid stalling [200]...
    281: obj =   1.000000000e+00 inf =   3.454e+03 (3243)
    513: obj =   1.000000000e+00 inf =   3.454e+03 (3243) 1
    724: obj =   1.000000000e+00 inf =   3.454e+03 (3243) 1
    925: obj =   1.000000000e+00 inf =   3.454e+03 (3243) 2
   1128: obj =   1.000000000e+00 inf =   3.454e+03 (3243) 2
   1332: obj =   1.000000000e+00 inf =   3.454e+03 (3243) 2
   1520: obj =   3.000000018e+00 inf =   3.092e+03 (2887) 2
   1702: obj =   3.000005439e+00 inf =   3.092e+03 (2887) 2
   1887: obj =   3.050702537e+00 inf =   3.059e+03 (2887) 2
   2059: obj =   3.065474546e+00 inf =   2.988e+03 (2887) 2
   2233: obj =   3.080076199e+00 inf =   2.972e+03 (2887) 1
   2401: obj =   3.104761922e+00 inf =   2.953e+03 (2887) 2
   2564: obj =   3.128851746e+00 inf =   2.930e+03 (2887) 2
   2733: obj =   3.164326226e+00 inf =   2.905e+03 (2887) 1
   2899: obj =   3.183120882e+00 inf =   2.886e+03 (2887) 2
   3067: obj =   3.219661645e+00 inf =   2.853e+03 (2887) 1
   3234: obj =   3.303466231e+00 inf =   2.813e+03 (2887) 2
   3399: obj =   3.393527581e+00 inf =   2.765e+03 (2783) 1
   3560: obj =   3.480902641e+00 inf =   2.712e+03 (2783) 2
   3723: obj =   3.574198032e+00 inf =   2.660e+03 (2783) 1
   3884: obj =   3.661456660e+00 inf =   2.600e+03 (2783) 2
   4051: obj =   3.822987500e+00 inf =   2.524e+03 (2783) 1
   4217: obj =   3.996537597e+00 inf =   2.467e+03 (2777) 2
   4385: obj =   4.212184929e+00 inf =   2.395e+03 (2723) 1
   4549: obj =   4.393382432e+00 inf =   2.331e+03 (2723) 2
   4715: obj =   4.745787463e+00 inf =   2.221e+03 (2723) 1
   4881: obj =   4.988100929e+00 inf =   2.148e+03 (2723) 2
   5054: obj =   5.094538533e+00 inf =   2.116e+03 (2723) 1
